conversation_id,message_id,message_date,agent_id,user_id,message
26,2186,6/29/2022 14:24:00,[redacted],[redacted],I am really happy with the service
60,5198,5/20/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
88,2922,5/31/2022 14:24:00,[redacted],[redacted],I am really happy with the service
18,3247,5/21/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
81,63,5/20/2022 14:24:00,[redacted],[redacted],I am really happy with the service
97,3510,6/12/2022 14:24:00,[redacted],[redacted],I am really happy with the service
21,9747,5/13/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
53,4748,7/17/2022 14:24:00,[redacted],[redacted],I am really happy with the service
34,5699,7/24/2022 14:24:00,[redacted],[redacted],I am really happy with the service
11,8998,5/8/2022 14:24:00,[redacted],[redacted],I am really happy with the service
35,874,6/10/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
30,4209,7/11/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
21,232,7/14/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
93,4790,5/14/2022 14:24:00,[redacted],[redacted],I am really happy with the service
79,8601,7/26/2022 14:24:00,[redacted],[redacted],I am really happy with the service
10,4571,5/28/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
70,8838,5/15/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
84,3819,5/22/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
41,4121,6/28/2022 14:24:00,[redacted],[redacted],I am really happy with the service
96,3539,8/4/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
39,6871,7/8/2022 14:24:00,[redacted],[redacted],I am really happy with the service
34,906,7/19/2022 14:24:00,[redacted],[redacted],I am really happy with the service
12,4822,5/28/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
58,1936,7/19/2022 14:24:00,[redacted],[redacted],I am really happy with the service
86,1314,7/11/2022 14:24:00,[redacted],[redacted],I am really happy with the service
14,4940,6/19/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
59,2940,5/6/2022 14:24:00,[redacted],[redacted],I am really happy with the service
18,7640,5/29/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
42,8891,5/9/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
30,4685,7/8/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
92,5302,5/21/2022 14:24:00,[redacted],[redacted],I am really happy with the service
22,1421,5/14/2022 14:24:00,[redacted],[redacted],I am really happy with the service
29,6812,6/19/2022 14:24:00,[redacted],[redacted],I am really happy with the service
33,5829,5/1/2022 14:24:00,[redacted],[redacted],I am really happy with the service
65,521,5/23/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
93,8402,7/27/2022 14:24:00,[redacted],[redacted],I am really happy with the service
18,3365,6/10/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
88,102,7/1/2022 14:24:00,[redacted],[redacted],I am really happy with the service
26,8350,7/28/2022 14:24:00,[redacted],[redacted],I am really happy with the service
98,286,6/11/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
56,3348,6/20/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
48,9485,5/4/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
47,5615,6/28/2022 14:24:00,[redacted],[redacted],I am really happy with the service
88,9054,7/13/2022 14:24:00,[redacted],[redacted],I am really happy with the service
29,7676,6/23/2022 14:24:00,[redacted],[redacted],I am really happy with the service
95,9859,6/8/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
28,4605,4/28/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
60,2383,4/27/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
58,7410,7/22/2022 14:24:00,[redacted],[redacted],I am really happy with the service
12,8791,7/6/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
92,2697,8/1/2022 14:24:00,[redacted],[redacted],I am really happy with the service
52,4692,7/17/2022 14:24:00,[redacted],[redacted],I am really happy with the service
73,9928,7/15/2022 14:24:00,[redacted],[redacted],I am really happy with the service
70,1591,5/3/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
43,6496,5/17/2022 14:24:00,[redacted],[redacted],I am really happy with the service
29,5430,7/18/2022 14:24:00,[redacted],[redacted],I am really happy with the service
90,8974,7/17/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
78,8235,7/20/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
12,9850,8/1/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
57,7980,5/8/2022 14:24:00,[redacted],[redacted],I am really happy with the service
14,955,5/21/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
54,1333,5/13/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
72,2714,7/15/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
45,8394,5/21/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
64,6955,5/29/2022 14:24:00,[redacted],[redacted],I am really happy with the service
57,1897,8/4/2022 14:24:00,[redacted],[redacted],I am really happy with the service
79,7043,5/10/2022 14:24:00,[redacted],[redacted],I am really happy with the service
35,3044,6/23/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
81,3733,7/12/2022 14:24:00,[redacted],[redacted],I am really happy with the service
34,5372,7/24/2022 14:24:00,[redacted],[redacted],I am really happy with the service
37,6615,6/23/2022 14:24:00,[redacted],[redacted],I am really happy with the service
11,8266,5/24/2022 14:24:00,[redacted],[redacted],I am really happy with the service
72,7167,7/11/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
63,5086,7/26/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
86,32,6/28/2022 14:24:00,[redacted],[redacted],I am really happy with the service
90,3053,7/17/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
12,8531,4/28/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
29,4134,6/1/2022 14:24:00,[redacted],[redacted],I am really happy with the service
17,17,4/27/2022 14:24:00,[redacted],[redacted],I am really happy with the service
20,7961,7/27/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
25,7357,6/15/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
13,9500,5/18/2022 14:24:00,[redacted],[redacted],I am really happy with the service
67,7538,6/4/2022 14:24:00,[redacted],[redacted],I am really happy with the service
59,9514,7/22/2022 14:24:00,[redacted],[redacted],I am really happy with the service
89,4601,6/10/2022 14:24:00,[redacted],[redacted],I am really happy with the service
46,4219,6/23/2022 14:24:00,[redacted],[redacted],I am really happy with the service
48,6333,6/8/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
57,9620,5/31/2022 14:24:00,[redacted],[redacted],I am really happy with the service
83,6398,5/12/2022 14:24:00,[redacted],[redacted],I am really happy with the service
90,4300,6/17/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
22,1940,7/21/2022 14:24:00,[redacted],[redacted],I am really happy with the service
23,3762,5/3/2022 14:24:00,[redacted],[redacted],I am really happy with the service
37,1752,6/18/2022 14:24:00,[redacted],[redacted],I am really happy with the service
10,7232,5/1/2022 14:24:00,[redacted],[redacted],My updated ssn is [US_SOCIAL_SECURITY_NUMBER]
14,9481,7/17/2022 14:24:00,[redacted],[redacted],Yes my current email is [EMAIL_ADDRESS]
18,56,7/19/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
12,7188,5/19/2022 14:24:00,[redacted],[redacted],I am having trouble connecting...
68,7977,6/5/2022 14:24:00,[redacted],[redacted],I am really happy with the service
61,6141,7/26/2022 14:24:00,[redacted],[redacted],I am really happy with the service
